segment,uri,start,end,speaker,verification,identification,id
id10004\bIZQaEVuATQ\00014.wav,Aaron_Tveit/bIZQaEVuATQ,325.4,335.4,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00006.wav,Aaron_Tveit/lu_eVSfv3Tg,126.1,132.5,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00008.wav,Aaron_Tveit/lu_eVSfv3Tg,225.4,235.3,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00013.wav,Aaron_Tveit/lu_eVSfv3Tg,346.0,355.1,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00016.wav,Aaron_Tveit/lu_eVSfv3Tg,390.0,400.0,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00017.wav,Aaron_Tveit/lu_eVSfv3Tg,400.4,407.8,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00018.wav,Aaron_Tveit/lu_eVSfv3Tg,494.1,502.7,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00021.wav,Aaron_Tveit/lu_eVSfv3Tg,590.3,600.0,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00024.wav,Aaron_Tveit/lu_eVSfv3Tg,635.0,642.5,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00026.wav,Aaron_Tveit/lu_eVSfv3Tg,701.6,708.1,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00027.wav,Aaron_Tveit/lu_eVSfv3Tg,714.4,723.2,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00028.wav,Aaron_Tveit/lu_eVSfv3Tg,730.1,737.9,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00030.wav,Aaron_Tveit/lu_eVSfv3Tg,787.2,795.8,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00034.wav,Aaron_Tveit/lu_eVSfv3Tg,890.3,897.6,Aaron_Tveit,dev,trn,id10004
id10004\lu_eVSfv3Tg\00037.wav,Aaron_Tveit/lu_eVSfv3Tg,992.3,999.2,Aaron_Tveit,dev,trn,id10004
id10004\q6QJY1ndpOY\00002.wav,Aaron_Tveit/q6QJY1ndpOY,65.3,73.4,Aaron_Tveit,dev,trn,id10004
id10004\qqhJQYlENHs\00001.wav,Aaron_Tveit/qqhJQYlENHs,159.5,168.7,Aaron_Tveit,dev,trn,id10004
id10004\wQJ3cED8ZSw\00001.wav,Aaron_Tveit/wQJ3cED8ZSw,62.1,68.6,Aaron_Tveit,dev,trn,id10004
id10004\wQJ3cED8ZSw\00002.wav,Aaron_Tveit/wQJ3cED8ZSw,113.0,120.7,Aaron_Tveit,dev,trn,id10004
id10004\zcB1pnBt_Tc\00001.wav,Aaron_Tveit/zcB1pnBt_Tc,11.4,19.1,Aaron_Tveit,dev,tst,id10004
id10004\zcB1pnBt_Tc\00002.wav,Aaron_Tveit/zcB1pnBt_Tc,22.5,29.0,Aaron_Tveit,dev,tst,id10004
id10004\zcB1pnBt_Tc\00005.wav,Aaron_Tveit/zcB1pnBt_Tc,104.6,113.3,Aaron_Tveit,dev,tst,id10004
id10004\zcB1pnBt_Tc\00006.wav,Aaron_Tveit/zcB1pnBt_Tc,122.9,129.7,Aaron_Tveit,dev,tst,id10004
id10004\zcB1pnBt_Tc\00007.wav,Aaron_Tveit/zcB1pnBt_Tc,133.7,142.4,Aaron_Tveit,dev,tst,id10004
id10009\7hpSiT9_gCE\00001.wav,Adam_Beach/7hpSiT9_gCE,94.8,101.0,Adam_Beach,dev,trn,id10009
id10009\AtavJVP4bCk\00002.wav,Adam_Beach/AtavJVP4bCk,295.1,301.6,Adam_Beach,dev,trn,id10009
id10009\AtavJVP4bCk\00004.wav,Adam_Beach/AtavJVP4bCk,502.7,512.0,Adam_Beach,dev,trn,id10009
id10009\AtavJVP4bCk\00007.wav,Adam_Beach/AtavJVP4bCk,572.1,578.6,Adam_Beach,dev,trn,id10009
id10009\AtavJVP4bCk\00008.wav,Adam_Beach/AtavJVP4bCk,591.2,597.9,Adam_Beach,dev,trn,id10009
id10009\EJ3tyqGqYfw\00001.wav,Adam_Beach/EJ3tyqGqYfw,126.0,132.2,Adam_Beach,dev,trn,id10009
id10009\JntZkGsH2Cc\00004.wav,Adam_Beach/JntZkGsH2Cc,114.0,121.2,Adam_Beach,dev,trn,id10009
id10009\JrwqvWr5_VE\00001.wav,Adam_Beach/JrwqvWr5_VE,9.2,16.3,Adam_Beach,dev,trn,id10009
id10009\JrwqvWr5_VE\00005.wav,Adam_Beach/JrwqvWr5_VE,115.4,121.9,Adam_Beach,dev,trn,id10009
id10009\JrwqvWr5_VE\00006.wav,Adam_Beach/JrwqvWr5_VE,123.3,130.2,Adam_Beach,dev,trn,id10009
id10009\JrwqvWr5_VE\00009.wav,Adam_Beach/JrwqvWr5_VE,151.2,157.3,Adam_Beach,dev,trn,id10009
id10009\VM8gJWbQsEY\00002.wav,Adam_Beach/VM8gJWbQsEY,59.7,66.7,Adam_Beach,dev,dev,id10009
id10009\aFttHpeaXaQ\00001.wav,Adam_Beach/aFttHpeaXaQ,38.5,45.2,Adam_Beach,dev,trn,id10009
id10009\qdop2-gjKBQ\00002.wav,Adam_Beach/qdop2-gjKBQ,136.2,143.8,Adam_Beach,dev,trn,id10009
id10009\sQIqfA-I_Ew\00005.wav,Adam_Beach/sQIqfA-I_Ew,126.3,134.7,Adam_Beach,dev,trn,id10009
id10009\sQIqfA-I_Ew\00007.wav,Adam_Beach/sQIqfA-I_Ew,171.8,178.5,Adam_Beach,dev,trn,id10009
id10009\sQIqfA-I_Ew\00009.wav,Adam_Beach/sQIqfA-I_Ew,194.0,200.4,Adam_Beach,dev,trn,id10009
id10009\sQIqfA-I_Ew\00013.wav,Adam_Beach/sQIqfA-I_Ew,283.4,293.2,Adam_Beach,dev,trn,id10009
id10009\x_HdUZuSusA\00002.wav,Adam_Beach/x_HdUZuSusA,443.3,449.4,Adam_Beach,dev,trn,id10009
id10011\01En9rUo_Co\00001.wav,Adam_Copeland/01En9rUo_Co,17.2,26.8,Adam_Copeland,dev,trn,id10011
id10011\01En9rUo_Co\00003.wav,Adam_Copeland/01En9rUo_Co,44.2,50.5,Adam_Copeland,dev,trn,id10011
id10011\01En9rUo_Co\00004.wav,Adam_Copeland/01En9rUo_Co,73.9,82.7,Adam_Copeland,dev,trn,id10011
id10011\978HIG18Lek\00001.wav,Adam_Copeland/978HIG18Lek,34.2,40.9,Adam_Copeland,dev,dev,id10011
id10011\978HIG18Lek\00004.wav,Adam_Copeland/978HIG18Lek,62.3,68.4,Adam_Copeland,dev,dev,id10011
id10011\L_Q9NL9H1wI\00002.wav,Adam_Copeland/L_Q9NL9H1wI,81.8,89.2,Adam_Copeland,dev,trn,id10011
id10011\NY8rvshKUzU\00002.wav,Adam_Copeland/NY8rvshKUzU,28.1,34.7,Adam_Copeland,dev,trn,id10011
id10011\NY8rvshKUzU\00004.wav,Adam_Copeland/NY8rvshKUzU,61.4,70.1,Adam_Copeland,dev,trn,id10011
id10011\Q1aiO-vpabc\00002.wav,Adam_Copeland/Q1aiO-vpabc,48.4,55.2,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00004.wav,Adam_Copeland/QmFNWMU2hKU,215.9,225.7,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00005.wav,Adam_Copeland/QmFNWMU2hKU,264.4,272.5,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00007.wav,Adam_Copeland/QmFNWMU2hKU,294.0,303.8,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00011.wav,Adam_Copeland/QmFNWMU2hKU,370.4,376.5,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00014.wav,Adam_Copeland/QmFNWMU2hKU,398.9,406.4,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00015.wav,Adam_Copeland/QmFNWMU2hKU,416.2,425.9,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00016.wav,Adam_Copeland/QmFNWMU2hKU,428.4,434.9,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00026.wav,Adam_Copeland/QmFNWMU2hKU,694.1,701.5,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00028.wav,Adam_Copeland/QmFNWMU2hKU,725.3,731.7,Adam_Copeland,dev,trn,id10011
id10011\QmFNWMU2hKU\00030.wav,Adam_Copeland/QmFNWMU2hKU,741.1,750.5,Adam_Copeland,dev,trn,id10011
id10011\R8SJg-rcjKI\00002.wav,Adam_Copeland/R8SJg-rcjKI,30.7,38.4,Adam_Copeland,dev,trn,id10011
id10011\R8SJg-rcjKI\00005.wav,Adam_Copeland/R8SJg-rcjKI,78.6,85.6,Adam_Copeland,dev,trn,id10011
id10011\R8SJg-rcjKI\00007.wav,Adam_Copeland/R8SJg-rcjKI,137.4,146.5,Adam_Copeland,dev,trn,id10011
id10011\R8SJg-rcjKI\00009.wav,Adam_Copeland/R8SJg-rcjKI,155.7,162.8,Adam_Copeland,dev,trn,id10011
id10011\UzGMFpIv-ss\00003.wav,Adam_Copeland/UzGMFpIv-ss,58.1,64.8,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00001.wav,Adam_Copeland/g3SlFv2ui8A,50.8,60.8,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00004.wav,Adam_Copeland/g3SlFv2ui8A,148.4,158.2,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00007.wav,Adam_Copeland/g3SlFv2ui8A,205.2,214.1,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00008.wav,Adam_Copeland/g3SlFv2ui8A,249.6,258.6,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00010.wav,Adam_Copeland/g3SlFv2ui8A,319.4,325.6,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00011.wav,Adam_Copeland/g3SlFv2ui8A,351.1,359.6,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00012.wav,Adam_Copeland/g3SlFv2ui8A,425.7,431.7,Adam_Copeland,dev,trn,id10011
id10011\g3SlFv2ui8A\00015.wav,Adam_Copeland/g3SlFv2ui8A,531.6,537.8,Adam_Copeland,dev,trn,id10011
id10011\mwKVL6cadQw\00001.wav,Adam_Copeland/mwKVL6cadQw,41.3,49.2,Adam_Copeland,dev,tst,id10011
id10011\mwKVL6cadQw\00002.wav,Adam_Copeland/mwKVL6cadQw,119.2,127.5,Adam_Copeland,dev,tst,id10011
id10011\ujWHD_MTa44\00002.wav,Adam_Copeland/ujWHD_MTa44,138.4,147.0,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00003.wav,Adam_Copeland/ujWHD_MTa44,165.0,172.3,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00004.wav,Adam_Copeland/ujWHD_MTa44,203.9,212.6,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00006.wav,Adam_Copeland/ujWHD_MTa44,282.4,288.7,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00007.wav,Adam_Copeland/ujWHD_MTa44,373.4,381.6,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00009.wav,Adam_Copeland/ujWHD_MTa44,706.8,712.8,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00011.wav,Adam_Copeland/ujWHD_MTa44,766.3,775.5,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00012.wav,Adam_Copeland/ujWHD_MTa44,838.6,845.5,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00014.wav,Adam_Copeland/ujWHD_MTa44,855.3,863.7,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00015.wav,Adam_Copeland/ujWHD_MTa44,943.4,951.9,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00016.wav,Adam_Copeland/ujWHD_MTa44,980.1,988.5,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00018.wav,Adam_Copeland/ujWHD_MTa44,1030.0,1036.6,Adam_Copeland,dev,trn,id10011
id10011\ujWHD_MTa44\00021.wav,Adam_Copeland/ujWHD_MTa44,1152.9,1160.5,Adam_Copeland,dev,trn,id10011
id10016\5xGJYiNH2Jw\00002.wav,Aidan_Turner/5xGJYiNH2Jw,30.0,36.1,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00003.wav,Aidan_Turner/5xGJYiNH2Jw,54.2,61.0,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00004.wav,Aidan_Turner/5xGJYiNH2Jw,73.0,80.4,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00007.wav,Aidan_Turner/5xGJYiNH2Jw,161.6,171.0,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00009.wav,Aidan_Turner/5xGJYiNH2Jw,186.8,194.3,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00010.wav,Aidan_Turner/5xGJYiNH2Jw,199.4,207.1,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00011.wav,Aidan_Turner/5xGJYiNH2Jw,211.9,220.8,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00012.wav,Aidan_Turner/5xGJYiNH2Jw,224.2,232.0,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00013.wav,Aidan_Turner/5xGJYiNH2Jw,235.4,242.1,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00016.wav,Aidan_Turner/5xGJYiNH2Jw,285.8,293.4,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00018.wav,Aidan_Turner/5xGJYiNH2Jw,325.1,333.9,Aidan_Turner,dev,trn,id10016
id10016\5xGJYiNH2Jw\00019.wav,Aidan_Turner/5xGJYiNH2Jw,379.1,385.9,Aidan_Turner,dev,trn,id10016
id10016\7FOcBtZM-rI\00002.wav,Aidan_Turner/7FOcBtZM-rI,59.8,68.8,Aidan_Turner,dev,tst,id10016
id10016\7OacMAs-Crc\00001.wav,Aidan_Turner/7OacMAs-Crc,30.6,39.1,Aidan_Turner,dev,trn,id10016
id10016\7OacMAs-Crc\00004.wav,Aidan_Turner/7OacMAs-Crc,146.2,154.1,Aidan_Turner,dev,trn,id10016
id10016\7OacMAs-Crc\00005.wav,Aidan_Turner/7OacMAs-Crc,154.4,163.6,Aidan_Turner,dev,trn,id10016
id10016\7OacMAs-Crc\00006.wav,Aidan_Turner/7OacMAs-Crc,163.8,170.1,Aidan_Turner,dev,trn,id10016
id10016\7OacMAs-Crc\00008.wav,Aidan_Turner/7OacMAs-Crc,249.5,257.6,Aidan_Turner,dev,trn,id10016
id10016\7OacMAs-Crc\00009.wav,Aidan_Turner/7OacMAs-Crc,371.6,381.5,Aidan_Turner,dev,trn,id10016
id10016\8gWjr_-ROCc\00001.wav,Aidan_Turner/8gWjr_-ROCc,19.8,28.4,Aidan_Turner,dev,trn,id10016
id10016\FDXUYIgkTgk\00002.wav,Aidan_Turner/FDXUYIgkTgk,16.0,24.0,Aidan_Turner,dev,trn,id10016
id10016\LSeSZiv7evE\00001.wav,Aidan_Turner/LSeSZiv7evE,9.3,15.4,Aidan_Turner,dev,trn,id10016
id10016\LSeSZiv7evE\00002.wav,Aidan_Turner/LSeSZiv7evE,22.7,31.7,Aidan_Turner,dev,trn,id10016
id10016\MPkuYnDHS4E\00004.wav,Aidan_Turner/MPkuYnDHS4E,175.0,182.6,Aidan_Turner,dev,trn,id10016
id10016\PnSNt2F59-U\00001.wav,Aidan_Turner/PnSNt2F59-U,42.4,49.1,Aidan_Turner,dev,trn,id10016
id10016\RREb7K-SoSQ\00002.wav,Aidan_Turner/RREb7K-SoSQ,13.7,21.3,Aidan_Turner,dev,trn,id10016
id10016\RREb7K-SoSQ\00009.wav,Aidan_Turner/RREb7K-SoSQ,189.5,197.9,Aidan_Turner,dev,trn,id10016
id10016\RREb7K-SoSQ\00012.wav,Aidan_Turner/RREb7K-SoSQ,310.3,318.8,Aidan_Turner,dev,trn,id10016
id10016\RREb7K-SoSQ\00013.wav,Aidan_Turner/RREb7K-SoSQ,320.8,328.7,Aidan_Turner,dev,trn,id10016
id10016\RREb7K-SoSQ\00028.wav,Aidan_Turner/RREb7K-SoSQ,610.9,619.5,Aidan_Turner,dev,trn,id10016
id10016\SCFgvk0Sm24\00005.wav,Aidan_Turner/SCFgvk0Sm24,96.2,105.5,Aidan_Turner,dev,trn,id10016
id10016\SCFgvk0Sm24\00007.wav,Aidan_Turner/SCFgvk0Sm24,137.4,143.9,Aidan_Turner,dev,trn,id10016
id10016\SCFgvk0Sm24\00010.wav,Aidan_Turner/SCFgvk0Sm24,197.3,205.2,Aidan_Turner,dev,trn,id10016
id10016\SCFgvk0Sm24\00014.wav,Aidan_Turner/SCFgvk0Sm24,237.3,243.7,Aidan_Turner,dev,trn,id10016
id10016\Zxab80IZxU8\00001.wav,Aidan_Turner/Zxab80IZxU8,21.4,30.4,Aidan_Turner,dev,trn,id10016
id10016\Zxab80IZxU8\00004.wav,Aidan_Turner/Zxab80IZxU8,83.9,92.2,Aidan_Turner,dev,trn,id10016
id10016\Zxab80IZxU8\00006.wav,Aidan_Turner/Zxab80IZxU8,126.7,134.5,Aidan_Turner,dev,trn,id10016
id10016\a3j4Vg7CtjA\00001.wav,Aidan_Turner/a3j4Vg7CtjA,12.4,21.8,Aidan_Turner,dev,dev,id10016
id10016\a3j4Vg7CtjA\00004.wav,Aidan_Turner/a3j4Vg7CtjA,92.4,101.4,Aidan_Turner,dev,dev,id10016
id10016\a3j4Vg7CtjA\00005.wav,Aidan_Turner/a3j4Vg7CtjA,135.4,144.8,Aidan_Turner,dev,dev,id10016
id10016\bIi7FnNx6m0\00007.wav,Aidan_Turner/bIi7FnNx6m0,178.1,186.6,Aidan_Turner,dev,trn,id10016
id10016\bIi7FnNx6m0\00008.wav,Aidan_Turner/bIi7FnNx6m0,213.3,220.8,Aidan_Turner,dev,trn,id10016
id10016\bIi7FnNx6m0\00010.wav,Aidan_Turner/bIi7FnNx6m0,237.5,243.8,Aidan_Turner,dev,trn,id10016
id10016\bIi7FnNx6m0\00011.wav,Aidan_Turner/bIi7FnNx6m0,250.6,259.8,Aidan_Turner,dev,trn,id10016
id10016\bIi7FnNx6m0\00014.wav,Aidan_Turner/bIi7FnNx6m0,333.7,342.8,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00001.wav,Aidan_Turner/dOnuu_9-nyI,99.7,106.2,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00002.wav,Aidan_Turner/dOnuu_9-nyI,110.0,116.3,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00005.wav,Aidan_Turner/dOnuu_9-nyI,192.1,201.8,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00006.wav,Aidan_Turner/dOnuu_9-nyI,205.0,211.5,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00007.wav,Aidan_Turner/dOnuu_9-nyI,211.8,221.4,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00009.wav,Aidan_Turner/dOnuu_9-nyI,233.6,239.6,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00010.wav,Aidan_Turner/dOnuu_9-nyI,248.4,258.1,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00011.wav,Aidan_Turner/dOnuu_9-nyI,268.0,274.1,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00016.wav,Aidan_Turner/dOnuu_9-nyI,484.4,490.4,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00023.wav,Aidan_Turner/dOnuu_9-nyI,634.1,641.6,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00024.wav,Aidan_Turner/dOnuu_9-nyI,677.9,684.7,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00025.wav,Aidan_Turner/dOnuu_9-nyI,691.6,698.1,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00026.wav,Aidan_Turner/dOnuu_9-nyI,701.2,710.8,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00028.wav,Aidan_Turner/dOnuu_9-nyI,744.7,753.8,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00031.wav,Aidan_Turner/dOnuu_9-nyI,830.6,839.6,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00032.wav,Aidan_Turner/dOnuu_9-nyI,884.4,892.8,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00034.wav,Aidan_Turner/dOnuu_9-nyI,912.5,921.5,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00040.wav,Aidan_Turner/dOnuu_9-nyI,1083.2,1092.0,Aidan_Turner,dev,trn,id10016
id10016\dOnuu_9-nyI\00041.wav,Aidan_Turner/dOnuu_9-nyI,1103.8,1113.0,Aidan_Turner,dev,trn,id10016
id10016\fb31EtxsZDs\00001.wav,Aidan_Turner/fb31EtxsZDs,170.3,177.2,Aidan_Turner,dev,trn,id10016
id10016\hgB5ziAudzU\00001.wav,Aidan_Turner/hgB5ziAudzU,177.3,184.2,Aidan_Turner,dev,trn,id10016
id10016\hgB5ziAudzU\00008.wav,Aidan_Turner/hgB5ziAudzU,316.9,324.5,Aidan_Turner,dev,trn,id10016
id10016\j0CaA8LPTdc\00003.wav,Aidan_Turner/j0CaA8LPTdc,194.8,203.2,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00002.wav,Aidan_Turner/o524HaR7jfE,41.1,47.8,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00004.wav,Aidan_Turner/o524HaR7jfE,58.4,64.8,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00006.wav,Aidan_Turner/o524HaR7jfE,85.8,95.7,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00007.wav,Aidan_Turner/o524HaR7jfE,96.4,102.4,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00009.wav,Aidan_Turner/o524HaR7jfE,144.9,152.6,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00012.wav,Aidan_Turner/o524HaR7jfE,191.4,201.0,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00014.wav,Aidan_Turner/o524HaR7jfE,230.1,236.1,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00016.wav,Aidan_Turner/o524HaR7jfE,257.9,264.2,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00018.wav,Aidan_Turner/o524HaR7jfE,276.3,284.6,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00021.wav,Aidan_Turner/o524HaR7jfE,353.1,359.5,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00024.wav,Aidan_Turner/o524HaR7jfE,399.0,405.4,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00025.wav,Aidan_Turner/o524HaR7jfE,408.0,415.1,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00027.wav,Aidan_Turner/o524HaR7jfE,438.6,445.0,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00028.wav,Aidan_Turner/o524HaR7jfE,455.2,461.2,Aidan_Turner,dev,trn,id10016
id10016\o524HaR7jfE\00029.wav,Aidan_Turner/o524HaR7jfE,461.3,467.4,Aidan_Turner,dev,trn,id10016
id10016\pdTdefdQ_QI\00002.wav,Aidan_Turner/pdTdefdQ_QI,65.7,72.4,Aidan_Turner,dev,trn,id10016
id10016\pdTdefdQ_QI\00003.wav,Aidan_Turner/pdTdefdQ_QI,80.4,88.0,Aidan_Turner,dev,trn,id10016
id10016\pdTdefdQ_QI\00007.wav,Aidan_Turner/pdTdefdQ_QI,163.6,171.5,Aidan_Turner,dev,trn,id10016
id10016\vpnw2jQlZn4\00003.wav,Aidan_Turner/vpnw2jQlZn4,91.6,98.2,Aidan_Turner,dev,trn,id10016
id10016\vpnw2jQlZn4\00005.wav,Aidan_Turner/vpnw2jQlZn4,209.2,218.0,Aidan_Turner,dev,trn,id10016
id10016\vpnw2jQlZn4\00006.wav,Aidan_Turner/vpnw2jQlZn4,236.0,242.9,Aidan_Turner,dev,trn,id10016
id10016\wg6IOBMAdOc\00001.wav,Aidan_Turner/wg6IOBMAdOc,108.4,114.4,Aidan_Turner,dev,trn,id10016
id10016\ywRolvE7ToY\00001.wav,Aidan_Turner/ywRolvE7ToY,5.0,11.6,Aidan_Turner,dev,trn,id10016
