segment,uri,start,end,speaker,verification,identification
id10031\4nbkpwV-Aa0\00001.wav,Alexander_Siddig/4nbkpwV-Aa0,97.4,129.6,Alexander_Siddig,dev,trn
id10032\946A5a_lGVY\00001.wav,Alexandra_Daddario/946A5a_lGVY,15.5,23.3,Alexandra_Daddario,dev,trn
id10033\4sR_yegf4O4\00001.wav,Alexandra_Roach/4sR_yegf4O4,26.8,34.3,Alexandra_Roach,dev,trn
id10034\1KJJEC-fgIw\00001.wav,Alexz_Johnson/1KJJEC-fgIw,1.0,8.0,Alexz_Johnson,dev,trn
id10035\9VR7wckrdP8\00002.wav,Alfre_Woodard/9VR7wckrdP8,181.5,189.1,Alfre_Woodard,dev,trn
id10036\0GgHhOqUrUw\00003.wav,Alice_Eve/0GgHhOqUrUw,142.8,167.3,Alice_Eve,dev,trn
id10037\58rmd88n3Wc\00002.wav,Alicja_Bachleda/58rmd88n3Wc,57.8,71.9,Alicja_Bachleda,dev,trn
id10038\7Gd4Fz2UNxQ\00001.wav,Alison_Arngrim/7Gd4Fz2UNxQ,213.6,245.8,Alison_Arngrim,dev,trn
id10039\DL7HycTOJyQ\00001.wav,Alison_Pill/DL7HycTOJyQ,222.0,234.5,Alison_Pill,dev,trn
id10040\1csoxtWaisM\00001.wav,Allison_Williams/1csoxtWaisM,251.0,261.1,Allison_Williams,dev,trn
id10041\0-KA7pTDABQ\00001.wav,Amanda_Seyfried/0-KA7pTDABQ,53.6,62.4,Amanda_Seyfried,dev,trn
id10042\1yc4hUIgyKA\00001.wav,Amaury_Nolasco/1yc4hUIgyKA,15.4,37.9,Amaury_Nolasco,dev,trn
id10043\8ejoUYpLoUo\00001.wav,Amber_Riley/8ejoUYpLoUo,71.6,79.2,Amber_Riley,dev,trn
id10044\0kJh-VyhrJQ\00001.wav,America_Ferrera/0kJh-VyhrJQ,19.4,36.9,America_Ferrera,dev,trn
id10045\2C6rSa0k4NM\00001.wav,Amitabh_Bachchan/2C6rSa0k4NM,125.4,132.9,Amitabh_Bachchan,dev,trn
id10046\0gaIk-T8tcM\00001.wav,Amy_Poehler/0gaIk-T8tcM,106.2,116.2,Amy_Poehler,dev,trn
id10047\0nmNcnBybAE\00001.wav,Amy_Schumer/0nmNcnBybAE,66.9,86.5,Amy_Schumer,dev,trn
id10048\1O-BFSXqERo\00001.wav,Ana_Gasteyer/1O-BFSXqERo,83.6,92.0,Ana_Gasteyer,dev,trn
id10049\3D0aomYNBYM\00002.wav,Andre_Braugher/3D0aomYNBYM,121.8,128.6,Andre_Braugher,dev,trn
id10050\6OUWWa4tdJw\00003.wav,Andrea_Riseborough/6OUWWa4tdJw,237.5,247.6,Andrea_Riseborough,dev,trn
id10051\IPGYRXSKqTg\00001.wav,Andrew_Dice_Clay/IPGYRXSKqTg,103.5,111.2,Andrew_Dice_Clay,dev,trn
id10052\04ku-8IjzPk\00001.wav,Andrew_Garfield/04ku-8IjzPk,23.1,30.9,Andrew_Garfield,dev,trn
id10053\3q0mWGrxlnY\00003.wav,Andrew_Lee_Potts/3q0mWGrxlnY,109.0,118.8,Andrew_Lee_Potts,dev,trn
id10054\2BD8idIsZoU\00002.wav,Andrew_Rannells/2BD8idIsZoU,128.7,138.7,Andrew_Rannells,dev,trn
id10055\2-IXMay-I_k\00002.wav,Andrew_Scott/2-IXMay-I_k,24.2,30.9,Andrew_Scott,dev,trn
id10056\2PGAreQT6ao\00002.wav,Andy_Richter/2PGAreQT6ao,36.5,43.3,Andy_Richter,dev,trn
id10057\FXpRlmBYOaQ\00001.wav,Andy_Samberg/FXpRlmBYOaQ,22.2,31.0,Andy_Samberg,dev,trn
id10058\EEcEWXEXJWY\00004.wav,Aneurin_Barnard/EEcEWXEXJWY,103.0,110.9,Aneurin_Barnard,dev,trn
id10059\229vKIGbxrI\00003.wav,Ang_Lee/229vKIGbxrI,70.0,76.0,Ang_Lee,dev,trn
id10060\FhNti7sVV3U\00002.wav,Angela_Kinsey/FhNti7sVV3U,22.8,28.9,Angela_Kinsey,dev,trn
id10061\0Wgg3wCb5Ws\00001.wav,Anne_Hathaway/0Wgg3wCb5Ws,39.8,47.1,Anne_Hathaway,dev,trn
id10062\11wavAHn4cs\00001.wav,Ansel_Elgort/11wavAHn4cs,80.2,88.3,Ansel_Elgort,dev,trn
id10063\0nU0A1EVLtg\00002.wav,Anthony_Anderson/0nU0A1EVLtg,66.4,76.1,Anthony_Anderson,dev,trn
id10064\5YYJq3fSbH8\00001.wav,Anthony_Mackie/5YYJq3fSbH8,44.5,54.0,Anthony_Mackie,dev,trn
id10065\89eYkpcvuqo\00001.wav,Anthony_Rapp/89eYkpcvuqo,118.1,124.6,Anthony_Rapp,dev,trn
id10066\1Kr6tGO56H8\00001.wav,Anton_Yelchin/1Kr6tGO56H8,10.4,20.4,Anton_Yelchin,dev,trn
id10067\42Vxg6o0Svs\00002.wav,Antonio_Cupo/42Vxg6o0Svs,146.5,168.6,Antonio_Cupo,dev,trn
id10068\8CJKjlhUbQk\00002.wav,Arden_Cho/8CJKjlhUbQk,21.2,27.7,Arden_Cho,dev,trn
id10069\6Jz0GrnZrf4\00002.wav,Armand_Assante/6Jz0GrnZrf4,91.6,99.4,Armand_Assante,dev,trn
id10070\35O7qXEEvs0\00002.wav,Armie_Hammer/35O7qXEEvs0,27.1,36.1,Armie_Hammer,dev,trn
id10071\1TmvLk8sB-g\00005.wav,Asa_Butterfield/1TmvLk8sB-g,88.4,98.2,Asa_Butterfield,dev,trn
id10072\Aj2mg55ZLi8\00001.wav,Ashley_Greene/Aj2mg55ZLi8,35.9,45.0,Ashley_Greene,dev,trn
id10073\6S2yZ6SnYLE\00001.wav,Ashley_Jensen/6S2yZ6SnYLE,3.9,11.2,Ashley_Jensen,dev,trn
id10074\11xowx4MBO4\00001.wav,Audra_McDonald/11xowx4MBO4,112.0,124.8,Audra_McDonald,dev,trn
id10075\08H4--mL1LQ\00001.wav,Audrina_Patridge/08H4--mL1LQ,101.1,109.9,Audrina_Patridge,dev,trn
id10076\1z9G7GUIb7s\00002.wav,Avan_Jogia/1z9G7GUIb7s,18.0,30.6,Avan_Jogia,dev,trn
id10077\0OxT7uyV-vU\00002.wav,B.J._Novak/0OxT7uyV-vU,79.8,100.5,B.J._Novak,dev,trn
id10078\2wBqlMWSKyE\00001.wav,Barbara_Eden/2wBqlMWSKyE,15.4,24.6,Barbara_Eden,dev,trn
id10079\7JLeel7ok0k\00004.wav,Barbara_Hershey/7JLeel7ok0k,107.4,113.8,Barbara_Hershey,dev,trn
id10080\08874l86GtI\00001.wav,Bear_Grylls/08874l86GtI,104.0,110.7,Bear_Grylls,dev,trn
id10081\1M4q6CQM5pA\00004.wav,Bellamy_Young/1M4q6CQM5pA,111.7,121.0,Bellamy_Young,dev,trn
id10083\7R8ml09VBHQ\00001.wav,Ben_McKenzie/7R8ml09VBHQ,2.4,9.0,Ben_McKenzie,dev,trn
id10084\0Oj7sdw3Hjo\00001.wav,Ben_Stiller/0Oj7sdw3Hjo,41.7,50.7,Ben_Stiller,dev,trn
id10085\2Cv7-z2QZPI\00001.wav,Ben_Whishaw/2Cv7-z2QZPI,6.4,16.2,Ben_Whishaw,dev,tst
id10086\4CbDDs8dflA\00001.wav,Beth_Grant/4CbDDs8dflA,37.2,49.2,Beth_Grant,dev,trn
id10087\3LNDOIUpNQ8\00001.wav,Bethany_Mota/3LNDOIUpNQ8,20.0,32.7,Bethany_Mota,dev,trn
id10088\3-dUITmswr8\00005.wav,Betty_White/3-dUITmswr8,146.4,153.8,Betty_White,dev,trn
id10089\0NgeEhvyjdQ\00002.wav,Bill_Nighy/0NgeEhvyjdQ,61.2,69.7,Bill_Nighy,dev,trn
id10090\8CBooElMJRU\00001.wav,Bill_Pullman/8CBooElMJRU,58.9,66.7,Bill_Pullman,dev,trn
id10091\BsIWeyR9uwU\00002.wav,Billie_Joe_Armstrong/BsIWeyR9uwU,8.3,15.0,Billie_Joe_Armstrong,dev,trn
id10092\22Lt2SMT6u4\00002.wav,Bingbing_Li/22Lt2SMT6u4,13.0,26.3,Bingbing_Li,dev,trn
id10093\0_Z0JLTnA7g\00002.wav,Blair_Underwood/0_Z0JLTnA7g,595.6,604.2,Blair_Underwood,dev,trn
id10094\ZBNp5xOQjeM\00001.wav,Blake_Michael/ZBNp5xOQjeM,18.5,26.3,Blake_Michael,dev,trn
id10095\B5jqlhXWkOo\00002.wav,Blake_Shelton/B5jqlhXWkOo,333.4,342.3,Blake_Shelton,dev,trn
id10096\0ApAnZOmR2I\00002.wav,Bob_Barker/0ApAnZOmR2I,27.0,41.8,Bob_Barker,dev,trn
id10097\2hu8mWaR404\00001.wav,Bobby_Cannavale/2hu8mWaR404,374.4,380.4,Bobby_Cannavale,dev,trn
id10099\3XSc73L3jPM\00001.wav,Booboo_Stewart/3XSc73L3jPM,68.3,75.4,Booboo_Stewart,dev,trn
id10101\BdHi272CLIk\00006.wav,Bradley_Steven_Perry/BdHi272CLIk,174.6,188.4,Bradley_Steven_Perry,dev,tst
id10102\C27Q1fbouSw\00002.wav,Breckin_Meyer/C27Q1fbouSw,44.1,52.0,Breckin_Meyer,dev,trn
id10103\3kFTWs2GWrc\00001.wav,Brenda_Blethyn/3kFTWs2GWrc,38.0,45.7,Brenda_Blethyn,dev,trn
id10104\2QXNPYA7yjs\00003.wav,Brendan_Gleeson/2QXNPYA7yjs,144.3,151.8,Brendan_Gleeson,dev,trn
id10106\52Ee7ElSKMo\00001.wav,Brian_Blessed/52Ee7ElSKMo,110.7,123.7,Brian_Blessed,dev,trn
id10107\4ojwZ9FffR8\00001.wav,Brian_Cox/4ojwZ9FffR8,44.4,51.1,Brian_Cox,dev,trn
id10108\6S--HMgvHiE\00002.wav,Brian_Dennehy/6S--HMgvHiE,26.8,47.0,Brian_Dennehy,dev,trn
id10109\94cQAjcDcXA\00001.wav,Bridget_Moynahan/94cQAjcDcXA,140.2,146.8,Bridget_Moynahan,dev,trn
id10110\2WIRuGSGaqQ\00002.wav,Bridget_Regan/2WIRuGSGaqQ,164.3,173.8,Bridget_Regan,dev,trn
id10111\1cB2JB37zfM\00001.wav,Brit_Marling/1cB2JB37zfM,13.3,28.4,Brit_Marling,dev,trn
id10112\2KuS90BmMyo\00001.wav,Brooke_Burke-Charvet/2KuS90BmMyo,41.2,86.7,Brooke_Burke-Charvet,dev,trn
id10113\0wruSQX5Eac\00002.wav,Bruce_Boxleitner/0wruSQX5Eac,36.3,42.6,Bruce_Boxleitner,dev,trn
id10114\CkBmwOzFP0I\00004.wav,Bruno_Ganz/CkBmwOzFP0I,1195.6,1204.4,Bruno_Ganz,dev,trn
id10115\3_JGA5CTRSk\00003.wav,Bruno_Mars/3_JGA5CTRSk,615.8,622.2,Bruno_Mars,dev,trn
id10116\2und_mUwcQ4\00007.wav,Burt_Reynolds/2und_mUwcQ4,369.2,379.1,Burt_Reynolds,dev,trn
id10117\2qiHu6rrGvI\00001.wav,CCH_Pounder/2qiHu6rrGvI,4.6,16.7,CCH_Pounder,dev,trn
id10118\03ZaSobFZTs\00002.wav,Caitriona_Balfe/03ZaSobFZTs,126.6,146.2,Caitriona_Balfe,dev,trn
id10119\3q4rl2iu8yY\00005.wav,Caity_Lotz/3q4rl2iu8yY,206.9,226.7,Caity_Lotz,dev,trn
id10120\1WIo7LgW21I\00003.wav,Callan_McAuliffe/1WIo7LgW21I,44.3,50.3,Callan_McAuliffe,dev,trn
id10121\0LOp1dG6tM4\00001.wav,Callie_Thorne/0LOp1dG6tM4,4.9,19.3,Callie_Thorne,dev,trn
id10122\10gJl9Y6LVQ\00003.wav,Cameron_Boyce/10gJl9Y6LVQ,133.6,140.5,Cameron_Boyce,dev,trn
id10123\4iv48rM2Qk8\00002.wav,Candace_Cameron_Bure/4iv48rM2Qk8,13.4,23.9,Candace_Cameron_Bure,dev,trn
id10124\0CFBZSwkY0U\00002.wav,Candice_Accola/0CFBZSwkY0U,53.5,61.1,Candice_Accola,dev,trn
id10125\08wOLi1Nwsc\00001.wav,Candice_Patton/08wOLi1Nwsc,2.6,20.6,Candice_Patton,dev,trn
id10126\1nHa056iG1E\00001.wav,Caroline_Rhea/1nHa056iG1E,79.6,85.6,Caroline_Rhea,dev,tst
id10127\5YRTwgqaHno\00002.wav,Carolyn_Hennesy/5YRTwgqaHno,60.9,68.0,Carolyn_Hennesy,dev,trn
id10128\GXCBxopWtAU\00001.wav,Carrie_Ann_Inaba/GXCBxopWtAU,13.6,21.5,Carrie_Ann_Inaba,dev,trn
id10129\3MBeECF0-TY\00002.wav,Carrie_Fisher/3MBeECF0-TY,227.0,234.8,Carrie_Fisher,dev,trn
id10130\5hHu6Nuhj_4\00001.wav,Carrie_Underwood/5hHu6Nuhj_4,36.0,47.2,Carrie_Underwood,dev,trn
id10131\09H3uJc9fI8\00001.wav,Casey_Affleck/09H3uJc9fI8,285.7,305.7,Casey_Affleck,dev,trn
id10132\75Pv0Nu46rE\00001.wav,Casey_Wilson/75Pv0Nu46rE,533.1,542.5,Casey_Wilson,dev,trn
id10133\75cHqHGv99g\00002.wav,Cassandra_Peterson/75cHqHGv99g,42.6,48.6,Cassandra_Peterson,dev,tst
id10135\73Lz58Oc_1o\00001.wav,Caterina_Scorsone/73Lz58Oc_1o,56.4,63.3,Caterina_Scorsone,dev,trn
id10136\5V5-S_yF8kI\00001.wav,Catherine_Hardwicke/5V5-S_yF8kI,8.0,34.1,Catherine_Hardwicke,dev,trn
id10137\0Igryfy5pZI\00001.wav,Cedric_the_Entertainer/0Igryfy5pZI,362.3,375.5,Cedric_the_Entertainer,dev,trn
id10138\1exZ6JxOt_w\00003.wav,Celia_Imrie/1exZ6JxOt_w,424.2,431.4,Celia_Imrie,dev,trn
id10139\3r7818cn1Xk\00001.wav,Chace_Crawford/3r7818cn1Xk,78.2,85.1,Chace_Crawford,dev,trn
id10140\1fpTDuFfoB0\00001.wav,Chadwick_Boseman/1fpTDuFfoB0,15.6,24.7,Chadwick_Boseman,dev,trn
id10141\2djfpVN_86k\00002.wav,Charice/2djfpVN_86k,69.0,75.4,Charice,dev,trn
id10142\5zCTlNdWdpM\00001.wav,Charles_Dance/5zCTlNdWdpM,57.4,68.7,Charles_Dance,dev,trn
id10143\2LSiFyZN5-Y\00002.wav,Charles_S._Dutton/2LSiFyZN5-Y,16.8,26.8,Charles_S._Dutton,dev,trn
id10144\0E4t5VLraxY\00002.wav,Charlie_Day/0E4t5VLraxY,56.2,64.0,Charlie_Day,dev,trn
id10145\CH5lEZC3Miw\00004.wav,Charlotte_Gainsbourg/CH5lEZC3Miw,118.4,127.0,Charlotte_Gainsbourg,dev,trn
id10146\3GpKr8kPlsc\00001.wav,Chazz_Palminteri/3GpKr8kPlsc,62.0,87.6,Chazz_Palminteri,dev,trn
id10147\ANHqMuLKP9E\00003.wav,Chelsea_Handler/ANHqMuLKP9E,177.7,187.2,Chelsea_Handler,dev,trn
id10148\42fq3-MegVQ\00002.wav,Cher/42fq3-MegVQ,29.6,39.2,Cher,dev,trn
id10149\0oCFsG93gMQ\00001.wav,Cheryl_Ladd/0oCFsG93gMQ,121.4,127.5,Cheryl_Ladd,dev,trn
id10150\500ubbn4Bm4\00002.wav,Chi_McBride/500ubbn4Bm4,66.8,76.1,Chi_McBride,dev,trn
id10151\2otHR5OVAQ0\00001.wav,Chiwetel_Ejiofor/2otHR5OVAQ0,144.8,151.5,Chiwetel_Ejiofor,dev,trn
id10152\5PhI4vwotm0\00001.wav,Chloe_Bennet/5PhI4vwotm0,114.7,121.0,Chloe_Bennet,dev,trn
id10153\81LUckMu7qI\00003.wav,Chloe_Dykstra/81LUckMu7qI,91.0,98.8,Chloe_Dykstra,dev,trn
id10154\0FhJs_jMUPs\00001.wav,Chris_Colfer/0FhJs_jMUPs,30.7,42.7,Chris_Colfer,dev,trn
id10155\3Dj0YycpFlw\00001.wav,Chris_Hemsworth/3Dj0YycpFlw,42.9,52.8,Chris_Hemsworth,dev,trn
id10156\9QVihNm7FRs\00002.wav,Chris_Lowell/9QVihNm7FRs,54.1,65.4,Chris_Lowell,dev,trn
id10157\31g1Oo0Ih-A\00002.wav,Chris_Martin/31g1Oo0Ih-A,503.0,510.1,Chris_Martin,dev,trn
id10158\16JJRnhTW5o\00001.wav,Chris_Messina/16JJRnhTW5o,11.7,21.6,Chris_Messina,dev,trn
id10159\0sabETmKH5w\00001.wav,Chris_Pine/0sabETmKH5w,48.2,55.1,Chris_Pine,dev,trn
id10160\NFY4gpMivxw\00001.wav,Christian_Kane/NFY4gpMivxw,43.9,53.7,Christian_Kane,dev,trn
id10161\6cRnyUtIbJw\00001.wav,Christina_Hendricks/6cRnyUtIbJw,20.6,38.2,Christina_Hendricks,dev,tst
id10162\6N0uJfg-Ev8\00001.wav,Christina_Ricci/6N0uJfg-Ev8,170.4,177.8,Christina_Ricci,dev,trn
id10163\3GfME5mHmpU\00002.wav,Christopher_Mintz-Plasse/3GfME5mHmpU,47.5,61.8,Christopher_Mintz-Plasse,dev,trn
id10164\6eMViDDEk5c\00001.wav,Cierra_Ramirez/6eMViDDEk5c,29.9,42.7,Cierra_Ramirez,dev,trn
id10165\3JX6DOorxsE\00003.wav,Cilla_Black/3JX6DOorxsE,418.0,425.0,Cilla_Black,dev,trn
id10166\2Nd6yGFh3LU\00001.wav,Cillian_Murphy/2Nd6yGFh3LU,152.4,159.1,Cillian_Murphy,dev,trn
id10167\0x6UxKMetG8\00001.wav,Cindy_Williams/0x6UxKMetG8,6.6,14.0,Cindy_Williams,dev,trn
id10168\0H_qR6gyCw4\00002.wav,Claudia_Black/0H_qR6gyCw4,56.6,66.4,Claudia_Black,dev,trn
id10169\BpbhMZTq2TI\00001.wav,Claudia_Lee/BpbhMZTq2TI,15.4,31.1,Claudia_Lee,dev,trn
id10170\1aXDfiBMEwg\00005.wav,Cliff_Curtis/1aXDfiBMEwg,107.6,119.6,Cliff_Curtis,dev,trn
id10171\5Hi1cngk9fo\00001.wav,Clive_Owen/5Hi1cngk9fo,34.7,41.8,Clive_Owen,dev,trn
id10173\6ieCizF1wrg\00002.wav,Constance_Zimmer/6ieCizF1wrg,77.5,87.0,Constance_Zimmer,dev,trn
id10174\1b8qU9rpE6g\00002.wav,Corbin_Bleu/1b8qU9rpE6g,71.2,77.9,Corbin_Bleu,dev,trn
id10175\1TRwtiGXedk\00003.wav,Corey_Stoll/1TRwtiGXedk,87.0,94.4,Corey_Stoll,dev,trn
id10176\02C9nSEG_gA\00001.wav,Cory_Monteith/02C9nSEG_gA,25.9,33.8,Cory_Monteith,dev,trn
id10177\DX8iZlTAv0E\00001.wav,Costas_Mandylor/DX8iZlTAv0E,10.4,27.8,Costas_Mandylor,dev,trn
id10178\4R7Ms1-SaCY\00002.wav,Cote_de_Pablo/4R7Ms1-SaCY,262.4,272.1,Cote_de_Pablo,dev,trn
id10179\9YkWgO8wgIM\00001.wav,Cristin_Milioti/9YkWgO8wgIM,14.9,22.6,Cristin_Milioti,dev,trn
id10180\9rdWp-HM3Ks\00003.wav,Cyndi_Lauper/9rdWp-HM3Ks,106.5,125.6,Cyndi_Lauper,dev,trn
id10181\8JaHIlyZBMs\00002.wav,Dakota_Fanning/8JaHIlyZBMs,19.6,41.1,Dakota_Fanning,dev,trn
id10182\0__1iAZIajM\00002.wav,Damian_Lewis/0__1iAZIajM,45.2,51.5,Damian_Lewis,dev,tst
id10183\04qJmAgjniY\00001.wav,Damon_Lindelof/04qJmAgjniY,130.0,156.4,Damon_Lindelof,dev,trn
id10184\0FHidop4Cyc\00001.wav,Damon_Wayans/0FHidop4Cyc,20.6,26.7,Damon_Wayans,dev,trn
id10185\2y595vd981Y\00001.wav,Dan_Aykroyd/2y595vd981Y,125.4,135.0,Dan_Aykroyd,dev,tst
id10186\1AXgNgrG9k8\00001.wav,Dan_Fogler/1AXgNgrG9k8,122.4,132.0,Dan_Fogler,dev,trn
id10187\31p3nU8DlYU\00001.wav,Dan_Stevens/31p3nU8DlYU,28.6,40.7,Dan_Stevens,dev,trn
id10188\0OniOYEgQOE\00001.wav,Dana_Delany/0OniOYEgQOE,33.8,51.3,Dana_Delany,dev,trn
id10189\0ArgJy-K0YE\00001.wav,Dane_Cook/0ArgJy-K0YE,64.9,79.2,Dane_Cook,dev,trn
id10190\2ayOhNgb8Yk\00002.wav,Danica_McKellar/2ayOhNgb8Yk,137.6,143.6,Danica_McKellar,dev,trn
id10191\0zn70Ak8lRc\00001.wav,Daniel_Auteuil/0zn70Ak8lRc,52.2,59.4,Daniel_Auteuil,dev,trn
id10192\1oI3SdWXcBw\00003.wav,Daniel_Craig/1oI3SdWXcBw,90.0,98.3,Daniel_Craig,dev,trn
id10193\1hEr7qKRKL4\00004.wav,Daniel_Dae_Kim/1hEr7qKRKL4,238.1,245.3,Daniel_Dae_Kim,dev,trn
id10194\A6tp5LVNTr0\00001.wav,Daniel_Tosh/A6tp5LVNTr0,21.4,39.5,Daniel_Tosh,dev,trn
id10195\4EhAfqcBJF0\00001.wav,Danielle_Campbell/4EhAfqcBJF0,18.5,26.2,Danielle_Campbell,dev,tst
id10196\2uC35AQqxxM\00001.wav,Danielle_Panabaker/2uC35AQqxxM,102.4,111.8,Danielle_Panabaker,dev,trn
id10197\5cu92kGSGCY\00001.wav,Danny_Dyer/5cu92kGSGCY,58.4,67.0,Danny_Dyer,dev,trn
id10198\9VRC-vw8NuE\00001.wav,Danny_McBride/9VRC-vw8NuE,20.6,36.2,Danny_McBride,dev,trn
id10199\001yfuC1VY4\00001.wav,Danny_Pino/001yfuC1VY4,12.9,19.7,Danny_Pino,dev,trn
id10200\1N4FDDkvgK8\00001.wav,Darren_Criss/1N4FDDkvgK8,13.5,22.4,Darren_Criss,dev,trn
id10201\DJe_WaGBGIo\00002.wav,Dave_Bautista/DJe_WaGBGIo,17.4,23.7,Dave_Bautista,dev,trn
id10202\3zRcmh204No\00002.wav,Dave_Foley/3zRcmh204No,192.6,199.2,Dave_Foley,dev,trn
id10203\0HJtWUCKNWQ\00001.wav,David_Attenborough/0HJtWUCKNWQ,1.6,15.4,David_Attenborough,dev,trn
id10204\AkdsEcQcSkw\00001.wav,David_Cassidy/AkdsEcQcSkw,124.4,131.6,David_Cassidy,dev,trn
id10205\Je4LB4ODEag\00001.wav,David_Faustino/Je4LB4ODEag,433.6,440.8,David_Faustino,dev,trn
id10206\0dATli9-ofc\00001.wav,David_Giuntoli/0dATli9-ofc,1.0,13.0,David_Giuntoli,dev,trn
id10207\GGPNJOPyprk\00002.wav,David_Harewood/GGPNJOPyprk,111.2,118.4,David_Harewood,dev,trn
id10208\F0n-yxsW0SE\00001.wav,David_Henrie/F0n-yxsW0SE,53.5,67.6,David_Henrie,dev,trn
id10209\1sBRrJ6Pu0c\00001.wav,David_Jason/1sBRrJ6Pu0c,48.9,55.4,David_Jason,dev,trn
id10210\8ihHgdnsat8\00004.wav,David_Koechner/8ihHgdnsat8,127.9,134.7,David_Koechner,dev,trn
id10211\CHAA-n12c6Q\00001.wav,David_Kross/CHAA-n12c6Q,136.0,142.4,David_Kross,dev,trn
id10212\0IYekI7ldSI\00001.wav,David_Letterman/0IYekI7ldSI,22.2,28.2,David_Letterman,dev,trn
id10213\12E5mRHNgKY\00002.wav,David_Lyons/12E5mRHNgKY,55.0,70.7,David_Lyons,dev,trn
id10214\0K3VZ1D4Nxo\00002.wav,David_Mamet/0K3VZ1D4Nxo,178.5,186.0,David_Mamet,dev,trn
id10215\9TVyLvhBmbo\00001.wav,David_Mazouz/9TVyLvhBmbo,35.7,42.3,David_Mazouz,dev,trn
id10216\6SnAo0W6a28\00001.wav,David_Morrissey/6SnAo0W6a28,283.0,290.5,David_Morrissey,dev,trn
id10217\3TkZRze1eAM\00001.wav,David_Morse/3TkZRze1eAM,6.9,12.9,David_Morse,dev,trn
